index,資料庫植物名稱,工程會原植物名稱,分類,匹配方式,參考規格,計價型態,計價單位,材料單價_元,標準差_元,地區別,工程會工項編碼,價格來源,統計期間,來源頁碼,備註
25,大花紫薇,大花紫薇,喬木,完全相符,240 ≦ 樹高 < 270 ㎝。90≦樹幅＜100cm,,株,4109,98,全區,M02938CG990,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第4頁,僅材料費；依原表說明未含人力、機具等費用。
26,大花紫薇,大花紫薇,喬木,完全相符,270 ≦ 樹高 < 300 ㎝。100≦樹幅＜120cm,,株,2195,196,全區,M02938CGAA0,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第4頁,僅材料費；依原表說明未含人力、機具等費用。
27,小葉欖仁,小葉欖仁,喬木,完全相符,270 ≦ 樹高 < 300 ㎝。100≦樹幅＜120cm,,株,2019,180,全區,M02938CSAA0,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第4頁,僅材料費；依原表說明未含人力、機具等費用。
28,苦楝,苦楝,喬木,完全相符,270 ≦ 樹高 < 300㎝。 100≦樹幅＜120cm,,株,1971,57,全區,M02938H5AA0,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第5頁,僅材料費；依原表說明未含人力、機具等費用。
29,苦楝,苦楝,喬木,完全相符,350 ≦ 樹高 < 400㎝。 160≦樹幅＜180cm,,株,3888,548,全區,M02938H5CD0,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第5頁,僅材料費；依原表說明未含人力、機具等費用。
30,黃連木,黃連木,喬木,完全相符,270 ≦ 樹高 < 300 ㎝。100≦樹幅＜120cm,,株,3385,79,全區,M02938HMAA0,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第5頁,僅材料費；依原表說明未含人力、機具等費用。
31,流蘇,流蘇,喬木,完全相符,210 ≦ 樹高 < 240㎝。 90≦樹幅＜100cm,,株,3400,60,全區,M02938J1890,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第5頁,僅材料費；依原表說明未含人力、機具等費用。
32,光蠟,光臘樹,喬木,別名候選,240 ≦ 樹高 < 270 ㎝。90≦樹幅＜100cm,,株,1690,138,全區,M02938J2990,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第5頁,僅材料費；依原表說明未含人力、機具等費用。
33,光蠟,光臘樹,喬木,別名候選,270 ≦ 樹高 < 300 ㎝。100≦樹幅＜120cm,,株,3369,184,全區,M02938J2AA0,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第5頁,僅材料費；依原表說明未含人力、機具等費用。
34,光蠟,光臘樹,喬木,別名候選,300 ≦ 樹高 < 350 ㎝。120≦樹幅＜140cm,,株,3395,1742,全區,M02938J2BB0,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第5頁,僅材料費；依原表說明未含人力、機具等費用。
35,緬梔,緬梔,喬木,完全相符,300 ≦ 樹高 < 350㎝。 260≦樹幅＜280cm,,株,8744,420,全區,M02938K3BJ0,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第5頁,僅材料費；依原表說明未含人力、機具等費用。
36,黃花風鈴木,黃花風鈴木,喬木,完全相符,270 ≦ 樹高 < 300㎝。100≦樹幅＜120cm,,株,2810,250,全區,M02938LGAA0,112年度公共工程植栽材料價格參考表,112年1月至112年12月,PDF第5頁,僅材料費；依原表說明未含人力、機具等費用。
